Record Name,Established,Company Name,Cellar Door Address,T,F,W,Facebook,Twitter,GI Zone,GI Region,All CEO,CEO,All Winemaker,Winemakers,All Sales,All Marketing,Sales & Marketing Manager,Vineyards,Variety used in production,Tonnes Crushed,Cases,Production,Storage Capacity,Fermentation Capacity,Products,Brands,Exports to,Site Facilities,Other Services,Cellar Door Location,URL,ID,SRC,Winery Address,Chief Executives,Formerly,Senior Winemaker/Production,Winemaker,Vineyard Manager (Frankland River),Vineyard Manager (Margaret River),All Restaurant,Cellar Door/Restaurant Manager,Distributors,Winery Location,Chief Executive,All Prod Mgr,Chief Winemaker/Production Manager/Marketing Manager,Vineyard Address,Contract Winemaker,Viticulturist,Vineyard Location,Manager,All Managment,Directors,All Owner,Proprietors,Viticulturist/Production Manager,Office Administration,Partner,Chief Executive Officer,Chief Operations Officer,General Manager Asia Pacific,Group Chief Winemaker,Group White Winemaker,Group Sparkling Winemaker,Group Viticulturist,Group Bulk Wine Trading Manager,Brand PR Executive - Australia,Director,Director/Proprietor,Chief Executive/Owners,Chief Winemaker,Partners,Assistant Winemaker/Viticulturist/Production Manager,Marketing,Owners,Chief Winemaker/Brand & Marketing Manager,Production & Export,Executive Director Marketing,Production Manager,General Manager,Contract Winemaker/Viticulture Consultant,Cellar Door Supervisor,Owner,Assistant Winemaker,Senior Winemaker,Vineyard Manager,Accounts/Marketing,Wholesale,Viticulturist/Production Manager/Marketing,Sales Manager,Brand Manager,Marketing Manager,Export Manager,Consultant Winemaker,Export & National Sales,Sales Director,Viticulturists,Production Manager/Marketing,Managing Director,All Board,Company Secretary,General Manager Operations,Master Distiller,Director Sales & Marketing,Export Manager (UK/Eupart),Human Resources Manager,Consultant Viticulturist,Contract Winemakers,Global Senior Brand Manager - SA Brands,Chief Executive/Owner,Production Manager/Marketing & Sales Manager,Director/General Manager,Finance Manager,Viticulturist & Grower Liaison Officer/Sales & Marketing Manager,Production Manager/Sales & Marketing Manager,Proprietor,Assistant Winemaker/Vineyard Manager,Cellar Door,Manager - Production & Wine Supply,Marketing Director,Sales & Marketing,Viticulturists/Production Managers,Master of Wine
Arete Wines,2008,Developed Characters Pty Ltd,"",0437 658 185,"",www.aretewines.com.au,AreteWines,@Aretewine,"","","","",Richard Bate (Winemaker),"","","Arete, The Road Less Travelled, The Chatterbox, The Chameleon, The Alchemist, Ethos (Brands)","","","Pinot Noir, Graciano, Riesling, Pinot Gris, Muscadelle, Shiraz, Chardonnay, Semillon, Sauvignon Blanc, Tempranillo",10-19,Less than 999,Wine is made on site,"","",table wine,"Arete, The Road Less Travelled, The Chatterbox, The Chameleon, The Alchemist, Ethos","","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2436,2436,Winebiz Australia,"Arrugius Winery, 49 Fraser Avenue, Happy Valley, SA 5159","","","",Richard Bate,"","","","","Vinosity Fine Wines, SA","-34.7733001,138.72098700000004","","","","","","","","",Richard Bate (Director/General Manager),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Richard Bate,,,,,,,,,,
Argyle Forest Estate,1997,"","",(03) 9531 5370,"",argyleforestestate.com.au,ArgyleForestEstate,"",Central Victoria,Heathcote,"","","","","","Betelgeuse, Rowbothams Track (Brands)","",4 ha,Shiraz,Less than 10,"2,500-4,999",Wine is made off site,"","",table wine,"Betelgeuse, Rowbothams Track","","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=6598,6598,Winebiz Australia,"","",Tree House Vineyard,"","","","","","","","","","","","Rowbothams Track, Heathcote, VIC 3523","","","-36.94004382750913,144.68754082918167","",Jenny Aitkenhead (Director),"","","","","","","","","","","","","","","",Jenny Aitkenhead,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,
The ARH Australian Wine Company,1999,The ARH Australian Wine Company Pty Ltd,"",0406 537 660,"",www.paringa.net,"","",Fleurieu,Currency Creek,David Hickinbotham (Chief Executive),"",Alan Robb Hickinbotham (Viticulturist & Grower Liaison Officer/Sales & Marketing Manager),"",Alan Robb Hickinbotham (Viticulturist & Grower Liaison Officer/Sales & Marketing Manager),"Alan Robb Hickinbotham (Viticulturist & Grower Liaison Officer/Sales & Marketing Manager), Paringa, 3 Rings, Sacred Earth (Brands)","",65.37 ha,"Cabernet Sauvignon, Chardonnay, Pinot Noir, Shiraz","1,000-2,499","50,000-99,999",Wine is made off site,"","",table and sparkling wines,"Paringa, 3 Rings, Sacred Earth","Austria, Canada, England, Germany, Hong Kong, Malaysia, Singapore, South Korea, Switzerland, Thailand, United States","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=63,63,Winebiz Australia,"","","","","","","","","","","",David Hickinbotham,"","","Winery Road, Finniss, SA 5255","","","-35.412763,138.80034799999998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Dena Hickinbotham,Alan Robb Hickinbotham,,,,,,,,
Arimia Estate,1998,"","242 Quininup Road, Yallingup, WA 6282",(08) 9755 2528,"",www.arimia.com.au,"","","","","","",Mark Warren (Chief Winemaker),"","",Arimia Estate (Brands),"","","Sauvignon Blanc, Petit Verdot, Merlot, Semillon, Shiraz, Verdelho, Grenache, Chardonnay, Zinfandel, Viognier, Mataro",20-49,"",Wine is made off site,"","",table wine,Arimia Estate,"","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2745,2745,Winebiz Australia,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Mark Warren,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,
Arlewood Estate,1988,Arlewood Estate Pty Ltd,"Corner Bussell Highway & Calgardup Road, Forest Grove, WA 6286","(08) 9757 6676, 0413 759 030","",www.arlewood.com.au,arlewoodwines,"",South West Australia,Margaret River,Garry Gosatti (Chief Executive),"","Pym Stuart (Consultant Winemaker), Russell Oates (Viticulturist)","",Terry Chellappah (Production Manager/Sales & Marketing Manager),"Terry Chellappah (Production Manager/Sales & Marketing Manager), Arlewood Estate (Brands)","","Forest Grove, 10 ha","Semillon, Petit Verdot, Cabernet Sauvignon, Shiraz, Malbec, Chardonnay, Cabernet Franc, Merlot, Sauvignon Blanc, Marsanne",50-99,"5,000-9,999",Wine is made off site,"","",table wine,Arlewood Estate,"Canada, China, England, Hong Kong, Malaysia, Singapore, Sweden, Switzerland",Tutored tastings,"","-34.04853478308244,115.10152816772461",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=64,64,Winebiz Australia,"","","","","","","","","","Off the Vine Distributors, WA","",Garry Gosatti,Terry Chellappah (Production Manager/Sales & Marketing Manager),"","","",Russell Oates,"","",Terry Chellappah (General Manager),"","","","","","","","","","","","","","","","","","","","","","","","","","","",Terry Chellappah,"","","","","","","","","","","","","",Pym Stuart,"","","","","","","","","","","","","","","","","","","","",Terry Chellappah,,,,,,,
Armstead Estate,2003,"","366 Moorabbee Road, Knowsley, VIC 3523",(03) 5439 1363,"",www.armsteadestate.com.au,"","",Central Victoria,Heathcote,"","",Peter Armstead (Winemaker),"","","Sharon Egan (Marketing Manager), Armstead Estate (Brands)","",1 ha,"Marsanne, Shiraz",Less than 10,Less than 999,Wine is made on site,"5,000 litres","5,000 litres",table and sparkling wines,Armstead Estate,"","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=3783,3783,Winebiz Australia,"","","","",Peter Armstead,"","","","","","","","","","","","","","",Peter Armstead (Director),"","","","","","","","","","","","","","","",Peter Armstead,"","","","","","","","","","","","","","","","","","","","","","","",Sharon Egan,"","","","","","","","","","","","","","","","","","","","","","","",,,,,,,
Armstrong Vineyards,1989,"","",0419 815 735,"","","","",Western Victoria,Grampians,Tony Royal (Chief Executive),"","Tony Royal (Winemaker), Geoff Morley (Viticulturist)","","","Loretta Royal (Marketing Manager), Armstrong (Brands)","",6 ha,Shiraz,20-49,"1,500-2,499",Wine is made off site,"10,000 litres","10,000 litres",table wine,Armstrong,"China, England, Hong Kong, Singapore","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=65,65,Winebiz Australia,"","","","",Tony Royal,"","","","","","",Tony Royal,"","","Military Road, Armstrong, VIC 3377","",Geoff Morley,"-37.2065687,142.89027499999997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Loretta Royal,"","","","","","","","","","","","","","","","","","","","","","","",,,,,,,
Arrivo Wine,1998,"","",0417 861 639,(08) 8303 6601,arrivo.com.au,"","",Mount Lofty Ranges,Adelaide Hills,"","",Peter Godden (Winemaker),"","","Peter Godden (Marketing Manager), Arrivo (Brands)","",1 ha,Nebbiolo,"",Less than 999,Wine is made off site,"8,000 litres","5,000 litres",table wine,Arrivo,"","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=68,68,Winebiz Australia,"","","","",Peter Godden,"","","","","","","","","","PO Box 151, Aldgate, SA 5154","","","","","","",Peter Godden (Proprietor),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Peter Godden,"","","","","","","","","","","","","","","","","","","","","","","",Peter Godden,,,,,,
Arrowfield Estate,1969,Arrowfield Wines Pty Ltd,"Corner Hermitage Road & Mistletoe Lane, Pokolbin, NSW 2320",(02) 4998 7440,(02) 4998 7443,"","","","","",David Wood (Chief Executive),"",Shane Virgo (Senior Winemaker),"","","Arrowfield Estate, Sophie's Bridge, Show Reserve, Bowman's Crossing (Brands)","","","Chardonnay, Verdelho, Semillon, Merlot, Shiraz, Cabernet Sauvignon, Cabernet Sanzey","1,000-2,499","50,000-99,999",Wine is made off site,"","","table, fortified and sparkling wines","Arrowfield Estate, Sophie's Bridge, Show Reserve, Bowman's Crossing","Canada, China, Denmark, Hong Kong, Ireland, Japan, Singapore, Thailand, United States","Crafts/Local Produce, Tutored tastings","","-32.7290684,151.259102",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=69,69,Winebiz Australia,"","","","","","","","","","","",David Wood,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Shane Virgo,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,
Artemis Wines,1997,Von Baron Holdings Pty Ltd,"46 Sir Charles Moses Lane, Old Hume Highway, Mittagong, NSW 2575","(02) 4872 1311, 0416 300 471",(02) 4872 1322,www.artemiswines.com.au,"","",South Coast,Southern Highlands,"","","Anton Balog, Mark Balog (Winemakers), Mark Balog (Viticulturist)","Anton Balog, Mark Balog","","Artemis, Mundrakoona Estate, Golden Emu, Monarch Chateau, Mirage Cottage, Fish Rock, Goddess, CZen, Koala 28, Prestige, Grand Heritage, Eurekana, Kalaya (Brands)","","Mittagong, 4 ha","Petit Verdot, Cabernet Sauvignon, Merlot, Pinot Noir, Riesling, Sauvignon Blanc, Viognier, Shiraz, Tempranillo, Chardonnay",50-99,"10,000-19,999",Wine is made on site,"150,000 litres","80,000 litres",table and sparkling wines,"Artemis, Mundrakoona Estate, Golden Emu, Monarch Chateau, Mirage Cottage, Fish Rock, Goddess, CZen, Koala 28, Prestige, Grand Heritage, Eurekana, Kalaya","China, Malaysia, Maldives, Norway, Philippines, Singapore, Switzerland, Taiwan, Vietnam","Coffee/Light Meals, Crafts/Local Produce","Contract Winemaking, Viticulture Consulting","-34.440904,150.40814699999999",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=1403,1403,Winebiz Australia,"","",Mundrakoona Estate,"","","","","","","","","","","","","",Mark Balog,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,
ArtWine,1997,ArtWine Pty Ltd,"72 Bird in Hand Road, Woodside, SA 5244",(08) 8389 9399,"",www.artwine.com.au,ArtWineEstate,@ArtWineEstate,Mount Lofty Ranges,Adelaide Hills + Clare Valley,"","","Joanne Irvine (Winemaker), Dick Bryksy, Simon Tolley (Viticulturists)","","","Judy Kelly (Marketing Manager), ArtWine, Polka Dot (Brands)","","Adelaide Hills, 3 ha; Clare Valley, 22.3 ha","Cabernet Franc, Cabernet Sauvignon, Fiano, Graciano, Grenache, Merlot, Montepulciano, Pinot Gris, Pinot Noir, Prosecco, Riesling, Tempranillo, Viognier",50-99,"2,500-4,999",Wine is made off site,"","",table and sparkling wines,"ArtWine, Polka Dot",Singapore,"Accommodation, Cafe/Restaurant, Gallery","","-34.961695,138.89407499999993",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2724,2724,Winebiz Australia,"","","","",Joanne Irvine,"","","","","By the Bottle, VIC, TAS; Estate Wines, NSW, QLD; Glenn Beale, SA","","","","","","","","","",Glen Kelly (Managing Director),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Judy Kelly,"","","","","Dick Bryksy, Simon Tolley","",Glen Kelly,"","","","","","","","","","","","","","","","","",,,,,,
Ashbrook Estate,1975,Ashbrook Estate Pty Ltd,"379 Tom Cullity Drive, Willyabrup, WA 6284",(08) 9755 6262,(08) 9755 6290,www.ashbrookwines.com.au,"","",South West Australia,Margaret River,"","","Catherine Edwards (Winemaker), Brian Devitt (Assistant Winemaker/Vineyard Manager)","","",Ashbrook Estate (Brands),"","Wilyabrup, 17.4 ha","Semillon, Cabernet Franc, Sauvignon Blanc, Riesling, Verdelho, Shiraz, Cabernet Sauvignon, Merlot, Petit Verdot, Chardonnay",100-249,"10,000-19,999",Wine is made on site,"120,000 litres","100,000 litres",table wine,Ashbrook Estate,"Canada, China, England, Germany, Hong Kong, Indonesia, Japan, Singapore, Taiwan, United States",Tours,Viticulture Consulting,"-33.793334,115.04277300000001",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=71,71,Winebiz Australia,"","","","",Catherine Edwards,"","","","","Fine Wine Wholesalers, WA; Fine Wine Specialist, NSW; Fesq & Co., QLD, VIC","","","","","","","","","",Brian Devitt (Director),"","","","","","","","","","","","","","","",Brian Devitt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Brian Devitt,,,,,
Ashley Estate,1988,"","",(08) 9257 2313,(08) 9257 3403,"","","",Greater Perth,Perth Hills,"","",Josh Davenport (Winemaker),"","",Ashley Estate (Brands),"",0.8 ha,Pinot Noir,Less than 10,"",Wine is made off site,"","",table wine,Ashley Estate,"",Tutored tastings,"","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=72,72,Winebiz Australia,"","","","",Josh Davenport,"","","","","","","","","","284 Aldersyde Road, Bickley, WA 6076","","","-31.993446,116.09794",Nova Ashley,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",John Ashley,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,
Ashton Hills Vineyard,1982,"","Tregarthen Road, Ashton, SA 5137",(08) 8390 1243,(08) 8390 1243,"","","",Mount Lofty Ranges,Adelaide Hills,"","","Stephen George (Winemaker), Stephen George (Viticulturist)","","","Ashton Hills Vineyard, Galah Wine, Burra Burra Lone Star (Brands)","","Ashton, 3 ha","Pinot Noir, Riesling",20-49,"1,000-1,499","Wine is made on site, off site","","",table and sparkling wines,"Ashton Hills Vineyard, Galah Wine, Burra Burra Lone Star","",Picnic facilities,"","-34.950616,138.727213",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=73,73,Winebiz Australia,"","","","",Stephen George,"","","","","Bottega Rotolo, SA, WA, NSW; Santé Wines, VIC","","","","","","",Stephen George,"","","","",Stephen George (Proprietor),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Stephen George,"",,,,,
Atze's Corner Wines,2005,"","",0407 621 989,(08) 8562 1989,www.atzescornerwines.com.au,"","",Barossa,Barossa Valley,"","","","","","Eddies, Old Vine, The Renegade, The Bachelor, Lorna's, The Giant (Brands)","","","Cabernet Sauvignon, Shiraz, Petit Verdot, Chardonnay, Aglianico, Montepulciano, Tempranillo, Viognier, Durif, Graciano, Grenache, Mataro, Vermentino",10-19,Less than 999,"Wine is made on site, off site","","",table wine,"Eddies, Old Vine, The Renegade, The Bachelor, Lorna's, The Giant","","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=3786,3786,Winebiz Australia,"Research Road, Nuriootpa, SA 5355","","","","","","","","","","-34.48710366972347,139.0023708343506","","","","","","","","",Andrew Kalleske (Director),"","","","","","","","","","","","","","","",Andrew Kalleske,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,
Audrey Wilkinson Vineyard,1866,Audrey Wilkinson Vineyard Pty Ltd,"750 DeBeyers Road, Pokolbin, NSW 2320",(02) 4998 1866,(02) 4998 7824,www.audreywilkinson.com.au,AudreyWilkinsonVineyard,@AudreyWilk1866,Hunter Valley,Hunter,"","",Jeff Byrne (Chief Winemaker),"",Rohan Beale (Sales & Marketing Manager),"Rohan Beale (Sales & Marketing Manager), Audrey Wilkinson (Brands)",Rohan Beale,"Hunter, 43.98 ha; Broke Fordwich, 4.68 ha","Cabernet Sauvignon, Chardonnay, Malbec, Merlot, Muscat Hamburg, Semillon, Shiraz, Tempranillo, Traminer, Verdelho",250-499,"10,000-19,999",Wine is made off site,"","","table, fortified and sparkling wines",Audrey Wilkinson,"","Accommodation, Historical buildings, Picnic facilities","","-32.7936042,151.27152839999997",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=76,76,Winebiz Australia,"","","","","","","","","","Agnew Wines, QLD, NSW, VIC, TAS","","","","","","","","","",James Agnew (General Manager),"","","","","","","","","","","","","","","","","","",Jeff Byrne,"","","","","","","","",James Agnew,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,
Auldstone Cellars,1987,"","",(03) 5766 2237,(03) 5766 2131,auldstone.com.au,"","",North East Victoria,Glenrowan,"Michael Reid, Nancy Reid (Chief Executives)","","Michael Reid (Winemaker), Michael Reid (Viticulturist/Production Manager)","","","Nancy Reid (Marketing), Auldstone (Brands)","","Taminick, 20 ha","Shiraz, Riesling, Merlot, Chardonnay, Cabernet Sauvignon, Muscat à Petits Grains",20-49,"1,500-2,499",Wine is made on site,"54,000 litres","22,000 litres","table, fortified and sparkling wines",Auldstone,"China, Singapore","Cafe/Restaurant, Concerts/Festivals, Crafts/Local Produce, Gallery, Historical buildings, Picnic facilities, Tours","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=77,77,Winebiz Australia,"296 Booths Road, Taminick, via Glenrowan, VIC 3675","Michael Reid, Nancy Reid",Herceynia Vineyard,"",Michael Reid,"","","","","Bacchus Wines, VIC","-36.380304188461075,146.18002653121948","",Michael Reid (Viticulturist/Production Manager),"","","","","","","","","","",Michael Reid,"","","","","","","","","","","","","","","","","",Nancy Reid,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,
Austin's Wines,1982,Austin's Wines Pty Ltd,"",(03) 5281 1799,(03) 5281 1673,www.austinswines.com.au,"","",Port Phillip,Geelong,Scott Austin (Chief Executive Officer),"","Scott Ireland (Contract Winemaker), Sam Vogel (Assistant Winemaker), Richard Austin (Viticulturist/Production Manager)","","","Scott Austin (Marketing Manager), Austins, sixfootsix (Brands)","","Sutherland Creek, 58.22 ha","Shiraz, Viognier, Pinot Gris, Pinot Noir, Riesling, Chardonnay",250-499,"20,000-49,999",Wine is made on site,"185,000 litres","85,000 litres",table wine,"Austins, sixfootsix","Canada, China, England, Germany, Japan, Singapore, Sweden, United States","Concerts/Festivals, Tutored tastings","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=79,79,Winebiz Australia,"870 Steiglitz Road, Sutherlands Creek, VIC 3331","","","","","","","","","Bacchus Wine Merchants, NSW, QLD; Nelson Wine Co., VIC; Muster Wine Co., SA","-38.016942,144.20454599999994","",Richard Austin (Viticulturist/Production Manager),"","",Scott Ireland,"","","","","","","",Richard Austin,"","",Scott Austin,"","","","","","","","","","","","","","","","","","","","","","","","",Sam Vogel,"",Craig Blake,"","","","","",Scott Austin,"","","","","","","","","","","","","","","","","","","","","","","","","",,,,,
Australia Kensington Wines,2000,Australia Kensington Wines Pty Ltd,"1590 Highlands Road, Whiteheads Creek, VIC 3660",(03) 5796 9366,"",www.kensingtonwines.com.au,"","",Central Victoria,Goulburn Valley,"","","","","","Kandy Xu (Marketing Manager), Kensington (Brands)","",8 ha,"Cabernet Sauvignon, Chardonnay, Merlot, Riesling, Shiraz",50-99,"","Wine is made on site, off site","","",table and organic wines,Kensington,"","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2818,2818,Winebiz Australia,"","",Rocky Passes Estate,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Kandy Xu,"","","","","","","","","","","","","","","","","","","","","","","","","",,,,,
Australian Boutique Premium Wines,1982,"","114 Blewitt Springs Road, McLaren Flat, SA 5171",Freecall: 1800 226 078,(08) 8383 0744,www.ozwines.net.au,Australia Boutique Premium Wines 170715802966265,"",Fleurieu,McLaren Vale,"","","","","","","",5.5 ha,"",Less than 10,Less than 999,Wine is made off site,"","","table, fortified and sparkling wines","","","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2879,2879,Winebiz Australia,"","","","","","","","","","","","","","","","","","","",Bob Harrison (Director),"",Eileen Harrison (Owner),"","","","","","","","","","","","","",Bob Harrison,"","","","","","","","","","","","","","",Eileen Harrison,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Aarron Pearse,,,,
Australian Domaine Wines,1998,Australian Domaine Wines Pty Ltd,"",0402 114 808,(08) 8234 5177,www.ausdomwines.com.au,"","","","","","",Charles Wish (Contract Winemaker),"","","Alliance, Deaf Galah, The Hattrick (Brands)","","","Cabernet Sauvignon, Grenache, Merlot, Riesling, Shiraz, Tempranillo",50-99,"2,500-4,999",Wine is made off site,"","",table wine,"Alliance, Deaf Galah, The Hattrick","Germany, Japan, Sweden, Switzerland, United States","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=80,80,Winebiz Australia,"16 Reese Avenue, Richmond, SA 5033","","","","","","","","","","-34.94063,138.56777599999998","",Mario Barletta (Production Manager),"","",Charles Wish,"","","",Ben Barletta (General Manager),"","","","","","","","","","","","","","","","","","","","","","","","","","",Mario Barletta,Ben Barletta,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,
Australian Selected Vineyards,1998,Australian Selected Vineyards Pty Ltd,"",(08) 8563 3511,(08) 8563 0105,"","","",Barossa,Barossa Valley,Peter Fairweather (Chief Executive),"","","","","Trout Masters, Broken Cliffs, Barossa Barrels (Brands)","",6 ha,"Cabernet Sauvignon, Shiraz",20-49,Less than 999,Wine is made off site,"62,000 litres","",table wine,"Trout Masters, Broken Cliffs, Barossa Barrels","China, Hong Kong, New Zealand, United States","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=82,82,Winebiz Australia,"61 Murray Street, Tanunda, SA 5352","","","","","","","","","Glasscase, VIC, NSW, QLD, ACT","-34.525983,138.95840699999997",Peter Fairweather,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,
Australian Vintage,2002,Australian Vintage Limited,"",(08) 8172 8333,(08) 8357 8544,www.australianvintage.com.au,"","","","",Neil McGuigan (Chief Executive Officer),"",Murray Leake (Viticulturist),"","","Scott Burton (Marketing Director), McGuigan, Tempus Two, Miranda, Nepenthe, Nine Below (Brands)","","","Petit Verdot, Viognier, Pinot Gris, Pinot Noir, Müller-Thurgau, Merlot, Mataro, Riesling, Marsanne, Malbec, Semillon, Colombard, Cabernet Sauvignon, Verdelho, Sangiovese, Traminer, Chenin Blanc, Sauvignon Blanc, Tempranillo, Cabernet Franc, Shiraz, Chardonnay, Chambourcin, Grenache","","",Wine is made on site,"","","table, fortified and sparkling wines","McGuigan, Tempus Two, Miranda, Nepenthe, Nine Below","Belgium-Luxembourg, Canada, China, Denmark, England, Fiji, Finland, France, Germany, Hong Kong, Nepal, Portugal, Singapore, Sweden, Switzerland, Taiwan, Thailand, The Netherlands, United States","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=83,83,Winebiz Australia,"275 Sir Donald Bradman Drive, Cowandilla, SA 5033","","","","","","","","",Australian Vintage,"","","","","","",Murray Leake,"","","","","","","","","",Neil McGuigan,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Roger Dowling,Scott Burton,,
Auswan Creek,1908,"","261 Murray Street, Tanunda, SA 5171",(02) 8203 2237,(02) 9411 6785,www.auswancreek.com.au,auswancreek,@auswancreek,Barossa,"","","",Ben Riggs (Contract Winemaker),"",James Paul Marin (Sales & Marketing),James Paul Marin (Sales & Marketing),"","Angaston, 10 ha; Tanunda, 1 ha","Cabernet Sauvignon, Grenache, Shiraz",250-499,"20,000-49,999",Wine is made on site,"","",table wine,"","","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=9874,9874,Winebiz Australia,"","","","","","","","","","","","","","","",Ben Riggs,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",James Paul Marin,
Avalon Vineyard,1981,"","4480 Wangaratta/Whitfield Road, King Valley, VIC 3678",(03) 5729 3629,"",www.avalonwines.com.au,"","",North East Victoria,King Valley,Doug Groom (Chief Executive),"","Doug Groom (Winemaker), Doug Groom (Viticulturist)","","",Avalon (Brands),"",10 ha,"Savagnin, Chardonnay, Shiraz, Cabernet Sauvignon, Malbec, Merlot, Pinot Noir, Riesling, Semillon, Tempranillo",10-19,Less than 999,Wine is made on site,"10,000 litres","8,000 litres",table wine,Avalon,United States,Crafts/Local Produce,"","-36.7284648,146.4071187",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=85,85,Winebiz Australia,"","","","",Doug Groom,"","","","","","",Doug Groom,"","","","",Doug Groom,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
Avani,1987,Feace Pty Ltd,"",(03) 5989 2646,"",www.avanisyrah.com.au,Avani Winery,"",Port Phillip,Mornington Peninsula,"","","Shashi Singh (Winemaker), Shashi Singh (Viticulturist)","","",Avani (Brands),"","Red Hill South, 4 ha",Shiraz,Less than 10,Less than 999,Wine is made on site,"5,000 litres","5,000 litres",table wine,Avani,"","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2178,2178,Winebiz Australia,"98 Stanley's Road, Red Hill South, VIC 3937","",Wildcroft Estates,"",Shashi Singh,"","","","","","-38.37143,145.05517299999997","","","","","",Shashi Singh,"","","","",Devendra Singh (Owner),"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Devendra Singh,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
